"Locale","区域"
"SE Asia Standard Time (Antarctica/Davis)","东南亚标准时间 (南极洲/戴维斯)"
"SE Asia Standard Time (Asia/Bangkok)","东南亚标准时间 (亚洲/曼谷)"
"SE Asia Standard Time (Asia/Hovd)","东南亚标准时间 (亚洲/科布多)"
"SE Asia Standard Time (Asia/Jakarta)","东南亚标准时间 (亚洲/雅加达)"
"SE Asia Standard Time (Asia/Phnom_Penh)","东南亚标准时间 (亚洲/金边)"
"SE Asia Standard Time (Asia/Pontianak)","东南亚标准时间 (亚洲/坤甸)"
"SE Asia Standard Time (Asia/Saigon)","东南亚标准时间 (亚洲/西贡)"
"SE Asia Standard Time (Asia/Vientiane)","东南亚标准时间 (亚洲/万象)"
"SE Asia Standard Time (Etc/GMT-7)","东南亚标准时间 (ETC/GMT-7)"
"SE Asia Standard Time (Indian/Christmas)","东南亚标准时间 (印度/圣诞节)"
"Samoa Standard Time (Pacific/Apia)","萨摩亚标准时间 (太平洋/阿皮亚)"
"Singapore Standard Time (Asia/Brunei)","新加坡标准时间 (亚洲/文莱)"
"Singapore Standard Time (Asia/Kuala_Lumpur)","新加坡标准时间 (亚洲/吉隆坡)"
"Singapore Standard Time (Asia/Kuching)","新加坡标准时间 (亚洲/古晋)"
"Singapore Standard Time (Asia/Makassar)","新加坡标准时间 (亚洲/望加锡)"
"Singapore Standard Time (Asia/Manila)","新加坡标准时间 (亚洲/马尼拉)"
"Singapore Standard Time (Asia/Singapore)","新加坡标准时间 (亚洲/新加坡)"
"Singapore Standard Time (Etc/GMT-8)","新加坡标准时间 (ETC/GMT-8)"
"South Africa Standard Time (Africa/Blantyre)","非洲南部标准时间 (非洲/布兰太尔)"
"South Africa Standard Time (Africa/Bujumbura)","非洲南部标准时间 (非洲/布琼布拉)"
"South Africa Standard Time (Africa/Gaborone)","非洲南部标准时间 (非洲/哈博罗内)"
"South Africa Standard Time (Africa/Harare)","非洲南部标准时间 (非洲/哈拉雷)"
"South Africa Standard Time (Africa/Johannesburg)","非洲南部标准时间 (非洲/约翰内斯堡)"
"South Africa Standard Time (Africa/Kigali)","非洲南部标准时间 (非洲/基加利)"
"South Africa Standard Time (Africa/Lubumbashi)","非洲南部标准时间 (非洲/卢本巴希)"
"South Africa Standard Time (Africa/Lusaka)","非洲南部标准时间 (非洲/卢萨卡)"
"South Africa Standard Time (Africa/Maputo)","非洲南部标准时间 (非洲/马普托)"
"South Africa Standard Time (Africa/Maseru)","非洲南部标准时间 (非洲/马塞卢)"
"South Africa Standard Time (Africa/Mbabane)","非洲南部标准时间 (非洲/姆巴巴内)"
"South Africa Standard Time (Etc/GMT-2)","非洲南部标准时间 (ETC/GMT-2)"
"Sri Lanka Standard Time (Asia/Colombo)","斯里兰卡标准时间 (亚洲/科伦坡)"
"Syria Standard Time (Asia/Damascus)","叙利亚标准时间 (亚洲/大马士革)"
"Taipei Standard Time (Asia/Taipei)","台北标准时间 (亚洲/台北)"
"Tasmania Standard Time (Australia/Currie)","塔斯马尼亚岛标准时间 (澳大利亚/柯里)"
"Tasmania Standard Time (Australia/Hobart)","塔斯马尼亚岛标准时间 (澳大利亚/霍巴特)"
"Tokyo Standard Time (Asia/Dili)","东京标准时间 (亚洲/帝力)"
"Tokyo Standard Time (Asia/Jayapura)","东京标准时间 (亚洲/查亚普拉)"
"Tokyo Standard Time (Asia/Tokyo)","东京标准时间 (亚洲/东京)"
"Tokyo Standard Time (Etc/GMT-9)","东京标准时间 (ETC/GMT-9)"
"Tokyo Standard Time (Pacific/Palau)","东京标准时间 (太平洋/帕劳)"
"Tonga Standard Time (Etc/GMT-13)","汤加标准时间 (ETC/GMT-13)"
"Tonga Standard Time (Pacific/Enderbury)","汤加标准时间 (太平洋/恩德伯里)"
"Tonga Standard Time (Pacific/Fakaofo)","汤加标准时间 (太平洋/法考福)"
"Tonga Standard Time (Pacific/Tongatapu)","汤加标准时间 (太平洋/汤加塔布岛)"
"Turkey Standard Time (Europe/Istanbul)","土耳其标准时间 (欧洲/伊斯坦布尔)"
"US Eastern Standard Time (America/Indiana/Marengo)","美国东部标准时间 (美洲/印第安纳州/马伦戈)"
"US Eastern Standard Time (America/Indiana/Vevay)","美国东部标准时间 (美洲/印第安纳州/韦韦)"
"US Eastern Standard Time (America/Indianapolis)","美国东部标准时间 (美洲/印第安纳波利斯)"
"US Mountain Standard Time (America/Creston)","美国山地标准时间 (美洲/克雷斯顿)"
"US Mountain Standard Time (America/Dawson_Creek)","美国山地标准时间 (美洲/道森克里克)"
"US Mountain Standard Time (America/Hermosillo)","美国山地标准时间 (美洲/埃莫西约)"
"US Mountain Standard Time (America/Phoenix)","美国山地标准时间 (美洲/凤凰城)"
"US Mountain Standard Time (Etc/GMT+7)","美国山地标准时间 (ETC/GMT + 7)"
"UTC (America/Danmarkshavn)","UTC (美洲/丹马沙)"
"UTC (Etc/GMT)","UTC (ETC/GMT)"
"UTC+12 (Etc/GMT-12)","UTC+12 (ETC/GMT-12)"
"UTC+12 (Pacific/Funafuti)","UTC+12 (太平洋/富纳富提)"
"UTC+12 (Pacific/Kwajalein)","UTC+12 (太平洋/夸贾林岛)"
"UTC+12 (Pacific/Majuro)","UTC+12 (太平洋/马朱罗)"
"UTC+12 (Pacific/Nauru)","UTC+12 (太平洋/瑙鲁)"
"UTC+12 (Pacific/Tarawa)","UTC+12 (太平洋/塔拉瓦)"
"UTC+12 (Pacific/Wake)","UTC+12 (太平洋/唤醒)"
"UTC+12 (Pacific/Wallis)","UTC+12 (太平洋/沃利斯)"
"UTC-02 (America/Noronha)","UTC-02 (美洲/迪诺罗尼亚)"
"UTC-02 (Atlantic/South_Georgia)","UTC-02 (大西洋/南乔治亚)"
"UTC-02 (Etc/GMT+2)","UTC-02 (ETC/GMT+2)"
"UTC-11 (Etc/GMT+11)","UTC-11 (ETC/GMT+11)"
"UTC-11 (Pacific/Midway)","UTC-11 (太平洋/中途岛)"
"UTC-11 (Pacific/Niue)","UTC-11 (太平洋/纽埃岛)"
"UTC-11 (Pacific/Pago_Pago)","UTC-11 (太平洋/帕果帕果)"
"Ulaanbaatar Standard Time (Asia/Choibalsan)","乌兰巴托标准时间 (亚洲/乔巴山)"
"Ulaanbaatar Standard Time (Asia/Ulaanbaatar)","乌兰巴托标准时间 (亚洲/乌兰巴托)"
"Venezuela Standard Time (America/Caracas)","委内瑞拉标准时间 (美洲/加拉加斯)"
"Vladivostok Standard Time (Asia/Sakhalin)","海参崴标准时间 (亚洲/萨哈林岛)"
"Vladivostok Standard Time (Asia/Ust-Nera)","海参崴标准时间 (亚洲/乌斯季挪拉)"
"Vladivostok Standard Time (Asia/Vladivostok)","海参崴标准时间 (亚洲/符拉迪沃斯托克)"
"W. Australia Standard Time (Antarctica/Casey)","澳大利亚西部标准时间 (南极洲/凯西)"
"W. Australia Standard Time (Australia/Perth)","澳大利亚西部标准时间 (澳大利亚/珀斯)"
"W. Central Africa Standard Time (Africa/Algiers)","中非西部标准时间 (非洲/阿尔及尔)"
"W. Central Africa Standard Time (Africa/Bangui)","中非西部标准时间 (非洲/班吉)"
"W. Central Africa Standard Time (Africa/Brazzaville)","中非西部标准时间 (非洲/布拉柴维尔)"
"W. Central Africa Standard Time (Africa/Douala)","中非西部标准时间 (非洲/杜阿拉)"
"W. Central Africa Standard Time (Africa/Kinshasa)","中非西部标准时间 (非洲/金沙萨)"
"W. Central Africa Standard Time (Africa/Lagos)","中非西部标准时间 (非洲/拉各斯)"
"W. Central Africa Standard Time (Africa/Libreville)","中非西部标准时间 (非洲/利伯维尔)"
"W. Central Africa Standard Time (Africa/Luanda)","中非西部标准时间 (非洲/罗安达)"
"W. Central Africa Standard Time (Africa/Malabo)","中非西部标准时间 (非洲/马拉博)"
"W. Central Africa Standard Time (Africa/Ndjamena)","中非西部标准时间 (非洲/恩贾梅纳)"
"W. Central Africa Standard Time (Africa/Niamey)","中非西部标准时间 (非洲/尼亚美)"
"W. Central Africa Standard Time (Africa/Porto-Novo)","中非西部标准时间 (非洲/波多诺伏)"
"W. Central Africa Standard Time (Africa/Tunis)","中非西部标准时间 (非洲/突尼斯)"
"W. Central Africa Standard Time (Etc/GMT-1)","中非西部标准时间 (ETC/GMT-1)"
"W. Europe Standard Time (Arctic/Longyearbyen)","欧洲西部标准时间 (北极/朗伊尔城)"
"W. Europe Standard Time (Europe/Amsterdam)","欧洲西部标准时间 (欧洲/阿姆斯特丹)"
"W. Europe Standard Time (Europe/Andorra)","欧洲西部标准时间 (欧洲/安道尔)"
"W. Europe Standard Time (Europe/Berlin)","欧洲西部标准时间 (欧洲/柏林)"
"W. Europe Standard Time (Europe/Busingen)","欧洲西部标准时间 (欧洲/布辛根)"
"W. Europe Standard Time (Europe/Gibraltar)","欧洲西部标准时间 (欧洲/直布罗陀)"
"W. Europe Standard Time (Europe/Luxembourg)","欧洲西部标准时间 (欧洲/卢森堡)"
"W. Europe Standard Time (Europe/Malta)","欧洲西部标准时间 (欧洲/马耳他)"，
"W. Europe Standard Time (Europe/Monaco)","欧洲西部标准时间 (欧洲/摩纳哥)"
"W. Europe Standard Time (Europe/Oslo)","欧洲西部标准时间 (欧洲/奥斯陆)"
"W. Europe Standard Time (Europe/Rome)","欧洲西部标准时间 (欧洲/罗马)"
"W. Europe Standard Time (Europe/San_Marino)","欧洲西部标准时间 (欧洲/圣马力诺)"
"W. Europe Standard Time (Europe/Stockholm)","欧洲西部标准时间 (欧洲/斯德哥尔摩)"
"W. Europe Standard Time (Europe/Vaduz)","欧洲西部标准时间 (欧洲/瓦杜兹)"
"W. Europe Standard Time (Europe/Vatican)","欧洲西部标准时间 (欧洲/梵蒂冈)"
"W. Europe Standard Time (Europe/Vienna)","欧洲西部标准时间 (欧洲/维也纳)"
"W. Europe Standard Time (Europe/Zurich)","欧洲西部标准时间 (欧洲/苏黎世)"
"West Asia Standard Time (Antarctica/Mawson)","西亚标准时间 (南极洲/莫森)"
"West Asia Standard Time (Asia/Aqtau)","西亚标准时间 (亚洲/阿克陶)"
"West Asia Standard Time (Asia/Aqtobe)","西亚标准时间 (亚洲/阿克托别)"
"West Asia Standard Time (Asia/Ashgabat)","西亚标准时间 (亚洲/阿什哈巴德)"
"West Asia Standard Time (Asia/Dushanbe)","西亚标准时间 (亚洲/杜尚别)"
"West Asia Standard Time (Asia/Oral)","西亚标准时间 (亚洲/口述)"
"West Asia Standard Time (Asia/Samarkand)","西亚标准时间 (亚洲/撒马尔罕)"
"West Asia Standard Time (Asia/Tashkent)","西亚标准时间 (亚洲/塔什干)"
"West Asia Standard Time (Etc/GMT-5)","西亚标准时间 (ETC/GMT-5)"
"West Asia Standard Time (Indian/Kerguelen)","西亚标准时间 (印度/凯尔盖朗)"
"West Asia Standard Time (Indian/Maldives)","西亚标准时间 (印度/马尔代夫)"
"West Pacific Standard Time (Antarctica/DumontDUrville)","西太平洋标准时间 (南极洲/杜蒙杜尔维尔)"
"West Pacific Standard Time (Etc/GMT-10)","西太平洋标准时间 (ETC/GMT-10)"
"West Pacific Standard Time (Pacific/Guam)","西太平洋标准时间 (太平洋/关岛)"
"West Pacific Standard Time (Pacific/Port_Moresby)","西太平洋标准时间 (太平洋/莫尔兹比港)"
"West Pacific Standard Time (Pacific/Saipan)","西太平洋标准时间 (太平洋/塞班)"
"West Pacific Standard Time (Pacific/Truk)","西太平洋标准时间 (太平洋/特鲁克)"
"Yakutsk Standard Time (Asia/Khandyga)","雅库茨克标准时间 (亚洲/汉德加)"
"Yakutsk Standard Time (Asia/Yakutsk)","雅库茨克标准时间 (亚洲/雅库茨克)"
